artist,album,release_type,review_source,review_url,review_date,raw_score,normalized_score_10,genre_bucket,subgenre,status,manual_check_reason
Unknown Artist,The Wow! Signal,album,Album of the Year,https://www.albumoftheyear.org/album/1731254-muse-the-wow-signal.php,,,,Unknown,,aggregator_find,
Unknown Artist,Sweet Fortune,album,Album of the Year,https://www.albumoftheyear.org/album/1849316-ryan-beatty-sweet-fortune.php,,,,Unknown,,aggregator_find,
Unknown Artist,The Ground Above,album,Album of the Year,https://www.albumoftheyear.org/album/1784119-beth-orton-the-ground-above.php,,,,Unknown,,aggregator_find,
Unknown Artist,Your Day Will Come,album,Album of the Year,https://www.albumoftheyear.org/album/1797726-chanel-beads-your-day-will-come.php,,,,Unknown,,aggregator_find,
Unknown Artist,Swans Today,album,Album of the Year,https://www.albumoftheyear.org/album/1852171-paulie-swan-swans-today.php,,,,Unknown,,aggregator_find,
Unknown Artist,Dear God,album,Album of the Year,https://www.albumoftheyear.org/album/1723182-the-pretty-reckless-dear-god.php,,,,Unknown,,aggregator_find,
Unknown Artist,After The Astronaut,album,Album of the Year,https://www.albumoftheyear.org/album/1729790-butthole-surfers-after-the-astronaut.php,,,,Unknown,,aggregator_find,
Unknown Artist,Public Luxury,album,Album of the Year,https://www.albumoftheyear.org/album/1739523-downtown-boys-public-luxury.php,,,,Unknown,,aggregator_find,
Unknown Artist,DELTARUNE Chapter 5 (Original Game Soundtrack),album,Album of the Year,https://www.albumoftheyear.org/album/1861963-toby-fox-deltarune-chapter-5-original-game-soundtrack.php,,,,Unknown,,aggregator_find,
Unknown Artist,The weathervane is my body,album,Album of the Year,https://www.albumoftheyear.org/album/1772584-truck-violence-the-weathervane-is-my-body.php,,,,Unknown,,aggregator_find,
Unknown Artist,your inner world is deeply uninteresting,album,Album of the Year,https://www.albumoftheyear.org/album/1800199-spiral-staircase-your-inner-world-is-deeply-uninteresting.php,,,,Unknown,,aggregator_find,
Unknown Artist,Wagon Burner,album,Album of the Year,https://www.albumoftheyear.org/album/1774829-dead-pioneers-wagon-burner.php,,,,Unknown,,aggregator_find,
Unknown Artist,You Are Spring!,album,Album of the Year,https://www.albumoftheyear.org/album/1807501-tasha-you-are-spring.php,,,,Unknown,,aggregator_find,
Unknown Artist,Totalbass,album,Album of the Year,https://www.albumoftheyear.org/album/1866146-2slimey-totalbass.php,,,,Unknown,,aggregator_find,
Unknown Artist,Satanic Chaos Legions,album,Album of the Year,https://www.albumoftheyear.org/album/1701497-nunslaughter-satanic-chaos-legions.php,,,,Unknown,,aggregator_find,
Unknown Artist,and all pride aside,album,Album of the Year,https://www.albumoftheyear.org/album/1836981-kwn-and-all-pride-aside.php,,,,Unknown,,aggregator_find,
Unknown Artist,Every House We Built,album,Album of the Year,https://www.albumoftheyear.org/album/1742643-exploring-birdsong-every-house-we-built.php,,,,Unknown,,aggregator_find,
Unknown Artist,The Plugs I Met 2.5,album,Album of the Year,https://www.albumoftheyear.org/album/1882449-benny-the-butcher-the-plugs-i-met-25.php,,,,Unknown,,aggregator_find,
Unknown Artist,Spontaneous Music Live,album,Album of the Year,https://www.albumoftheyear.org/album/1886545-sml-spontaneous-music-live.php,,,,Unknown,,aggregator_find,
Unknown Artist,Where Have All The Good Men Gone?,album,Album of the Year,https://www.albumoftheyear.org/album/1809572-debbii-dawson-where-have-all-the-good-men-gone.php,,,,Unknown,,aggregator_find,
Unknown Artist,With Every Breath I Take,album,Album of the Year,https://www.albumoftheyear.org/album/1800759-cecile-mclorin-salvant-with-every-breath-i-take.php,,,,Unknown,,aggregator_find,
Unknown Artist,The Canyon,album,Album of the Year,https://www.albumoftheyear.org/album/1572476-jjerome87-the-canyon.php,,,,Unknown,,aggregator_find,
Unknown Artist,Forever Now,album,Album of the Year,https://www.albumoftheyear.org/album/1158992-switchfoot-forever-now.php,,,,Unknown,,aggregator_find,
Unknown Artist,heartcore,album,Album of the Year,https://www.albumoftheyear.org/album/1779013-aura-heartcore.php,,,,Unknown,,aggregator_find,
Unknown Artist,Offering,album,Album of the Year,https://www.albumoftheyear.org/album/1820883-ibeyi-offering.php,,,,Unknown,,aggregator_find,
Unknown Artist,89 you seem pretty sad for a girl so in love,album,Metacritic,https://www.metacritic.com/music/you-seem-pretty-sad-for-a-girl-so-in-love/olivia-rodrigo,,,,Unknown,,aggregator_find,
Unknown Artist,79 SPLAT!,album,Metacritic,https://www.metacritic.com/music/splat!/deep-purple,,,,Unknown,,aggregator_find,
Unknown Artist,78 Foreign Tongues,album,Metacritic,https://www.metacritic.com/music/foreign-tongues/the-rolling-stones,,,,Unknown,,aggregator_find,
Unknown Artist,71 The Wow! Signal,album,Metacritic,https://www.metacritic.com/music/the-wow!-signal/muse,,,,Unknown,,aggregator_find,
Unknown Artist,15 Playing With Fire,album,Metacritic,https://www.metacritic.com/music/playing-with-fire/kevin-federline,,,,Unknown,,aggregator_find,
Unknown Artist,After The Astronaut,album,Metacritic,https://www.metacritic.com/music/after-the-astronaut/butthole-surfers,,,,Unknown,,aggregator_find,
Unknown Artist,The Ground Above,album,Metacritic,https://www.metacritic.com/music/the-ground-above/beth-orton,,,,Unknown,,aggregator_find,
Unknown Artist,Your Day Will Come (2026),album,Metacritic,https://www.metacritic.com/music/your-day-will-come-2026/chanel-beads,,,,Unknown,,aggregator_find,
Unknown Artist,Public Luxury,album,Metacritic,https://www.metacritic.com/music/public-luxury/downtown-boys,,,,Unknown,,aggregator_find,
Armagideon Time,When Punk Met Dub 1978-1984,album,Metacritic,https://www.metacritic.com/music/armagideon-time-when-punk-met-dub-1978-1984/various-artists,,,,Unknown,,aggregator_find,
Unknown Artist,Terrestrials,album,Metacritic,https://www.metacritic.com/music/terrestrials/pond,,,,Unknown,,aggregator_find,
Unknown Artist,Castle Park,album,Metacritic,https://www.metacritic.com/music/castle-park/graham-coxon,,,,Unknown,,aggregator_find,
Unknown Artist,Until The Sun Explodes,album,Metacritic,https://www.metacritic.com/music/until-the-sun-explodes/sublime,,,,Unknown,,aggregator_find,
Unknown Artist,So Help Me God,album,Metacritic,https://www.metacritic.com/music/so-help-me-god/kelsey-lu,,,,Unknown,,aggregator_find,
Unknown Artist,Snowdrop,album,Metacritic,https://www.metacritic.com/music/snowdrop/mono,,,,Unknown,,aggregator_find,
Unknown Artist,The Landfill,album,Metacritic,https://www.metacritic.com/music/the-landfill/fruit-bats,,,,Unknown,,aggregator_find,
Unknown Artist,Magazine,album,Metacritic,https://www.metacritic.com/music/magazine/yhwh-nailgun,,,,Unknown,,aggregator_find,
Unknown Artist,Demand To Be Taken To Heaven Alive!,album,Metacritic,https://www.metacritic.com/music/demand-to-be-taken-to-heaven-alive!/horse-lords,,,,Unknown,,aggregator_find,
Unknown Artist,Songs Of Personal Loss And Protest,album,Metacritic,https://www.metacritic.com/music/songs-of-personal-loss-and-protest/jon-spencer,,,,Unknown,,aggregator_find,
Unknown Artist,in grief or in hope,album,Metacritic,https://www.metacritic.com/music/in-grief-or-in-hope/bigbrave,,,,Unknown,,aggregator_find,
Unknown Artist,New Self,album,Metacritic,https://www.metacritic.com/music/new-self/the-bobby-lees,,,,Unknown,,aggregator_find,
Unknown Artist,I Built You A Tower,album,Metacritic,https://www.metacritic.com/music/i-built-you-a-tower/death-cab-for-cutie,,,,Unknown,,aggregator_find,
Unknown Artist,An Eraser And A Maze,album,Metacritic,https://www.metacritic.com/music/an-eraser-and-a-maze/modest-mouse,,,,Unknown,,aggregator_find,
Unknown Artist,Cry Baby,album,Metacritic,https://www.metacritic.com/music/cry-baby/vince-staples,,,,Unknown,,aggregator_find,
Unknown Artist,Doctrine Of Love,album,Metacritic,https://www.metacritic.com/music/doctrine-of-love/jalen-ngonda,,,,Unknown,,aggregator_find,
